filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-lepton/3Fadeev_2022_3_m_abs_emubar.csv,3Fadeev_2022_3_m_abs_emubar,gpgp,lepton-lepton,V2+3,Fadeev2022,emubar,True,Fadeev2022 (e-μ̄)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-lepton/3Terrano_2015_m_abs_eN.csv,3Terrano_2015_m_abs_eN,gpgp,lepton-lepton,V2+3,Terrano2015,eN,False,Terrano2015 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-lepton/3Fadeev_2022_4_m_abs_ee.csv,3Fadeev_2022_4_m_abs_ee,gpgp,lepton-lepton,V2+3,Fadeev2022,ee,False,Fadeev2022 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-lepton/3Fadeev_2022_2_m_abs_ebare.csv,3Fadeev_2022_2_m_abs_ebare,gpgp,lepton-lepton,V2+3,Fadeev2022,eebar,True,Fadeev2022 (e⁻-e⁺)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-lepton/1aeeastro_m_abs.csv,1aeeastro_m_abs,gpgp,lepton-lepton,V1a,eeastro,eastro,False,eeastro (e (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Stadnik_2018_1_m_abs_eN.csv,910Stadnik_2018_1_m_abs_eN,gpgs,lepton-nucleon,V9+10,Stadnik2018,eN,False,Stadnik2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Agrawal_2023_m_abs_eN.csv,910Agrawal_2023_m_abs_eN,gpgs,lepton-nucleon,V9+10,Agrawal2023,eN,False,Agrawal2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/1agepgNscombined3_m_abs.csv,1agepgNscombined3_m_abs,gpgs,lepton-nucleon,V1a,gepgNscombined3,eN,False,gepgNscombined3 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/15Hunter_2014_2_m_abs_en.csv,15Hunter_2014_2_m_abs_en,gpgs,lepton-nucleon,V15,Hunter2014,en,False,Hunter2014 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Hoedl_2011_2_m_m_abs_eN.csv,910Hoedl_2011_2_m_m_abs_eN,gpgs,lepton-nucleon,V9+10,Hoedl2011,eN,False,Hoedl2011 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Liang_2022_m_abs_eN.csv,910Liang_2022_m_abs_eN,gpgs,lepton-nucleon,V9+10,Liang2022,eN,False,Liang2022 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Rong_2018_m_abs_eN.csv,910Rong_2018_m_abs_eN,gpgs,lepton-nucleon,V9+10,Rong2018,eN,False,Rong2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/15Hunter_2014_1_m_abs_ep.csv,15Hunter_2014_1_m_abs_ep,gpgs,lepton-nucleon,V15,Hunter2014,ep,False,Hunter2014 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Prosnyak_2023_1_m_abs_eN.csv,910Prosnyak_2023_1_m_abs_eN,gpgs,lepton-nucleon,V9+10,Prosnyak2023,eN,False,Prosnyak2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Crescini_2022_1_m_abs_eN.csv,910Crescini_2022_1_m_abs_eN,gpgs,lepton-nucleon,V9+10,Crescini2022,eN,False,Crescini2022 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/1aeNastro_m_abs.csv,1aeNastro_m_abs,gpgs,lepton-nucleon,V1a,eNastro,eNastro,False,eNastro (e-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Lee_2018_1_m_abs_eN.csv,910Lee_2018_1_m_abs_eN,gpgs,lepton-nucleon,V9+10,Lee2018,eN,False,Lee2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/1agepgNscombined2_m_abs.csv,1agepgNscombined2_m_abs,gpgs,lepton-nucleon,V1a,gepgNscombined2,eN,False,gepgNscombined2 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/1agepgNscombined4_m_abs.csv,1agepgNscombined4_m_abs,gpgs,lepton-nucleon,V1a,gepgNscombined4,eN,False,gepgNscombined4 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Terrano_2015_m_m_abs_eN.csv,910Terrano_2015_m_m_abs_eN,gpgs,lepton-nucleon,V9+10,Terrano2015,eN,False,Terrano2015 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Heckel_2008_1_m_abs_eN.csv,910Heckel_2008_1_m_abs_eN,gpgs,lepton-nucleon,V9+10,Heckel2008,eN,False,Heckel2008 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/1agepgNscombined1_m_abs.csv,1agepgNscombined1_m_abs,gpgs,lepton-nucleon,V1a,gepgNscombined1,eN,False,gepgNscombined1 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Heckel_2008_2_m_abs_eN.csv,910Heckel_2008_2_m_abs_eN,gpgs,lepton-nucleon,V9+10,Heckel2008,eN,False,Heckel2008 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Dzuba_2018_m_abs_eN.csv,910Dzuba_2018_m_abs_eN,gpgs,lepton-nucleon,V9+10,Dzuba2018,eN,False,Dzuba2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-nucleon/910Wineland_1991_m_abs_eN.csv,910Wineland_1991_m_abs_eN,gpgs,lepton-nucleon,V9+10,Wineland1991,eN,False,Wineland1991 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Wu_2023_m_abs_nN.csv,910Wu_2023_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Wu2023,nN,False,Wu2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910guigue_2015_m_abs_nN.csv,910guigue_2015_m_abs_nN,gpgs,nucleon-nucleon,V9+10,uigue2015,nN,False,uigue2015 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/1agnpgNscombined4_m_abs.csv,1agnpgNscombined4_m_abs,gpgs,nucleon-nucleon,V1a,gnpgNscombined4,nN,False,gnpgNscombined4 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Voronin_2018_m_abs_nN.csv,910Voronin_2018_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Voronin2018,nN,False,Voronin2018 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/1agnpgNscombined2_m_abs.csv,1agnpgNscombined2_m_abs,gpgs,nucleon-nucleon,V1a,gnpgNscombined2,nN,False,gnpgNscombined2 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Tullney_2013_m_abs_nN.csv,910Tullney_2013_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Tullney2013,nN,False,Tullney2013 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/1agnpgNscombined1_m_abs.csv,1agnpgNscombined1_m_abs,gpgs,nucleon-nucleon,V1a,gnpgNscombined1,nN,False,gnpgNscombined1 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Lee_2018_2_m_abs_nN.csv,910Lee_2018_2_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Lee2018,nN,False,Lee2018 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Zhang_2023_m_abs_nN.csv,910Zhang_2023_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Zhang2023,nN,False,Zhang2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Ayres_2023_m_abs_nN.csv,910Ayres_2023_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Ayres2023,nN,False,Ayres2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/1anNastro_m_abs.csv,1anNastro_m_abs,gpgs,nucleon-nucleon,V1a,nNastro,nNastro,False,nNastro (n-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Feng_2022_m_abs_nN.csv,910Feng_2022_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Feng2022,nN,False,Feng2022 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/910Venema_1992_m_abs_NN.csv,910Venema_1992_m_abs_NN,gpgs,nucleon-nucleon,V9+10,Venema1992,nN,False,Venema1992 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/neutron-nucleon/1agnpgNscombined3_m_abs.csv,1agnpgNscombined3_m_abs,gpgs,nucleon-nucleon,V1a,gnpgNscombined3,nN,False,gnpgNscombined3 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910guigue_2015_m_abs_nN.csv,910guigue_2015_m_abs_nN,gpgs,nucleon-nucleon,V9+10,uigue2015,nN,False,uigue2015 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/1agppgNscombined4_m_abs.csv,1agppgNscombined4_m_abs,gpgs,nucleon-nucleon,V1a,gppgNscombined4,pN,False,gppgNscombined4 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910Stadnik_2015_m_abs_pN.csv,910Stadnik_2015_m_abs_pN,gpgs,nucleon-nucleon,V9+10,Stadnik2015,pN,False,Stadnik2015 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/1apNastro_m_abs.csv,1apNastro_m_abs,gpgs,nucleon-nucleon,V1a,pNastro,pNastro,False,pNastro (p-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910Lee_2018_2_m_abs_nN.csv,910Lee_2018_2_m_abs_nN,gpgs,nucleon-nucleon,V9+10,Lee2018,nN,False,Lee2018 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/1agppgNscombined1_m_abs.csv,1agppgNscombined1_m_abs,gpgs,nucleon-nucleon,V1a,gppgNscombined1,pN,False,gppgNscombined1 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/1agppgNscombined2_m_abs.csv,1agppgNscombined2_m_abs,gpgs,nucleon-nucleon,V1a,gppgNscombined2,pN,False,gppgNscombined2 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910Safronova_2018_Youdin_m_abs_pN.csv,910Safronova_2018_Youdin_m_abs_pN,gpgs,nucleon-nucleon,V9+10,Safronova2018,pN,False,Safronova2018 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910Safronova_2018_Kimball_m_abs_pN.csv,910Safronova_2018_Kimball_m_abs_pN,gpgs,nucleon-nucleon,V9+10,Safronova2018,pN,False,Safronova2018 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/910Chaja_2024_abs_m_NN.csv,910Chaja_2024_abs_m_NN,gpgs,nucleon-nucleon,V9+10,Chaja2024,nN,False,Chaja2024 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/nucleon-nucleon/proton-nucleon/1agppgNscombined3_m_abs.csv,1agppgNscombined3_m_abs,gpgs,nucleon-nucleon,V1a,gppgNscombined3,pN,False,gppgNscombined3 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/910Stadnik_2018_2_m_abs_ee.csv,910Stadnik_2018_2_m_abs_ee,gpgs,lepton-lepton,V9+10,Stadnik2018,ee,False,Stadnik2018 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/910Prosnyak_2023_2_m_abs_ee.csv,910Prosnyak_2023_2_m_abs_ee,gpgs,lepton-lepton,V9+10,Prosnyak2023,ee,False,Prosnyak2023 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/910Crescini_2022_2_m_abs_ee.csv,910Crescini_2022_2_m_abs_ee,gpgs,lepton-lepton,V9+10,Crescini2022,ee,False,Crescini2022 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/1agepgescombined4_m_abs.csv,1agepgescombined4_m_abs,gpgs,lepton-lepton,V1a,gepgescombined4,ee,False,gepgescombined4 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/1agepgescombined3_m_abs.csv,1agepgescombined3_m_abs,gpgs,lepton-lepton,V1a,gepgescombined3,ee,False,gepgescombined3 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/1agepgescombined1_m_abs.csv,1agepgescombined1_m_abs,gpgs,lepton-lepton,V1a,gepgescombined1,ee,False,gepgescombined1 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/1agepgescombined2_m_abs.csv,1agepgescombined2_m_abs,gpgs,lepton-lepton,V1a,gepgescombined2,ee,False,gepgescombined2 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gpgs/lepton-lepton/1aeeastro_m_abs.csv,1aeeastro_m_abs,gpgs,lepton-lepton,V1a,eeastro,eastro,False,eeastro (e (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/Combined_MS_e-N.csv,Combined_MS_e-N,gAgV,lepton-nucleon,UNKNOWN,MS,eN,False,MS (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Liang_2022_e-N.csv,V1213_Liang_2022_e-N,gAgV,lepton-nucleon,V12+13,Liang2022,eN,False,Liang2022 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Heckel_2008_e-N.csv,V1213_Heckel_2008_e-N,gAgV,lepton-nucleon,V12+13,Heckel2008,eN,False,Heckel2008 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/Combined_Torsion_e-N.csv,Combined_Torsion_e-N,gAgV,lepton-nucleon,UNKNOWN,Torsion,eN,False,Torsion (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/Combined_EEP_e-N.csv,Combined_EEP_e-N,gAgV,lepton-nucleon,UNKNOWN,EEP,eN,False,EEP (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V11_Wang_2023_e-n.csv,V11_Wang_2023_e-n,gAgV,lepton-nucleon,V11,Wang2023,en,False,Wang2023 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Jiao_2021_e-N.csv,V1213_Jiao_2021_e-N,gAgV,lepton-nucleon,V12+13,Jiao2021,eN,False,Jiao2021 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Kim_2019_e-N.csv,V1213_Kim_2019_e-N,gAgV,lepton-nucleon,V12+13,Kim2019,eN,False,Kim2019 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V16_Hunter_2014_e-p.csv,V16_Hunter_2014_e-p,gAgV,lepton-nucleon,V16,Hunter2014,ep,False,Hunter2014 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Dzuba_2017_e-N.csv,V1213_Dzuba_2017_e-N,gAgV,lepton-nucleon,V12+13,Dzuba2017,eN,False,Dzuba2017 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V11_Hunter_2013_e-p.csv,V11_Hunter_2013_e-p,gAgV,lepton-nucleon,V11,Hunter2013,ep,False,Hunter2013 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Antypas_2019_e-n.csv,V1213_Antypas_2019_e-n,gAgV,lepton-nucleon,V12+13,Antypas2019,en,False,Antypas2019 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V11_Hunter_2013_e-n.csv,V11_Hunter_2013_e-n,gAgV,lepton-nucleon,V11,Hunter2013,en,False,Hunter2013 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Clayburn_2023_e-N.csv,V1213_Clayburn_2023_e-N,gAgV,lepton-nucleon,V12+13,Clayburn2023,eN,False,Clayburn2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Wu_2022_e-N.csv,V1213_Wu_2022_e-N,gAgV,lepton-nucleon,V12+13,Wu2022,eN,False,Wu2022 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V16_Hunter_2014_e-n.csv,V16_Hunter_2014_e-n,gAgV,lepton-nucleon,V16,Hunter2014,en,False,Hunter2014 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/V1213_Antypas_2019_e-p.csv,V1213_Antypas_2019_e-p,gAgV,lepton-nucleon,V12+13,Antypas2019,ep,False,Antypas2019 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-nucleon/Combined_Casimir_e-N.csv,Combined_Casimir_e-N,gAgV,lepton-nucleon,UNKNOWN,Casimir,eN,False,Casimir (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Shu_2024_p-N.csv,V1213_Shu_2024_p-N,gAgV,nucleon-nucleon,V12+13,Shu2024,pN,False,Shu2024 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Wu_2023_n-N.csv,V1213_Wu_2023_n-N,gAgV,nucleon-nucleon,V12+13,Wu2023,nN,False,Wu2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/Combined_MS_N-N.csv,Combined_MS_N-N,gAgV,nucleon-nucleon,UNKNOWN,MS,nN,False,MS (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V11_Wang_2023_n-p.csv,V11_Wang_2023_n-p,gAgV,nucleon-nucleon,V11,Wang2023,np,False,Wang2023 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/Combined_Torsion_N-N.csv,Combined_Torsion_N-N,gAgV,nucleon-nucleon,UNKNOWN,Torsion,nN,False,Torsion (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Clayburn_2023_n-N.csv,V1213_Clayburn_2023_n-N,gAgV,nucleon-nucleon,V12+13,Clayburn2023,nN,False,Clayburn2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Clayburn_2023_p-N.csv,V1213_Clayburn_2023_p-N,gAgV,nucleon-nucleon,V12+13,Clayburn2023,pN,False,Clayburn2023 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Su_2021_n-N.csv,V1213_Su_2021_n-N,gAgV,nucleon-nucleon,V12+13,Su2021,nN,False,Su2021 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Yan_2013_n-N.csv,V1213_Yan_2013_n-N,gAgV,nucleon-nucleon,V12+13,Yan2013,nN,False,Yan2013 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/Combined_EEP_N-N.csv,Combined_EEP_N-N,gAgV,nucleon-nucleon,UNKNOWN,EEP,nN,False,EEP (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V1213_Yan_2015_n-N.csv,V1213_Yan_2015_n-N,gAgV,nucleon-nucleon,V12+13,Yan2015,nN,False,Yan2015 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/Combined_Casimir_N-N.csv,Combined_Casimir_N-N,gAgV,nucleon-nucleon,UNKNOWN,Casimir,nN,False,Casimir (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/nucleon-nucleon/V11_Vasilakis_2009_n-n.csv,V11_Vasilakis_2009_n-n,gAgV,nucleon-nucleon,V11,Vasilakis2009,nn,False,Vasilakis2009 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/V11_Hunter_2013_e-e.csv,V11_Hunter_2013_e-e,gAgV,lepton-lepton,V11,Hunter2013,ee,False,Hunter2013 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/Combined_Casimir_e-e.csv,Combined_Casimir_e-e,gAgV,lepton-lepton,UNKNOWN,Casimir,ee,False,Casimir (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/Combined_EEP_e-e.csv,Combined_EEP_e-e,gAgV,lepton-lepton,UNKNOWN,EEP,ee,False,EEP (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/V11_Heckel_2013_e-e.csv,V11_Heckel_2013_e-e,gAgV,lepton-lepton,V11,Heckel2013,ee,False,Heckel2013 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/Combined_EMM_e-e.csv,Combined_EMM_e-e,gAgV,lepton-lepton,UNKNOWN,EMM,ee,False,EMM (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gAgV/lepton-lepton/Combined_Torsion_e-e.csv,Combined_Torsion_e-e,gAgV,lepton-lepton,UNKNOWN,Torsion,ee,False,Torsion (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gsgs/lepton-nucleon/eNastro_m_abs.csv,eNastro_m_abs,gsgs,lepton-nucleon,UNKNOWN,eNastro,eNastro,False,eNastro (e-N (astro))
